,F-statistic,p-value,Significant
尿素,15.793282945669578,1.4928616879305236e-07,True
氯,7.4514145618180105,0.0005876200344144749,True
钠,7.074097270249199,0.0008559534639064927,True
钙,6.836533824116695,0.0010860012708642968,True
磷,4.538699285670831,0.010749936228488056,True
总三碘甲状腺原氨酸,4.15947017281881,0.015723044811860643,True
游离甲状腺素,3.805315643391609,0.022378939164114858,True
钾,3.340777092003195,0.035493948987659514,True
肌酐,2.6660948314799127,0.06967399668239795,False
尿酸,2.5949073733476133,0.07481885015133928,False
葡萄糖,1.326597051003548,0.265484057572092,False
镁,1.275566418993783,0.2794019421196159,False
甲状旁腺激素,1.1352293369083606,0.3215901951662994,False
低密度脂蛋白,1.08915792164785,0.3366282577121658,False
葡萄糖(餐后2小时),0.9324843414965092,0.39371544892293664,False
糖化血红蛋白,0.4884599515134179,0.613637303810955,False
总胆固醇,0.16984464323505338,0.8438037144761718,False
